Date,Open,High,Low,Close,Adj Close,Volume
2019-11-26,4150.000000,4180.000000,4100.000000,4150.000000,3922.544922,222076900
2019-11-27,4100.000000,4210.000000,4100.000000,4170.000000,3941.448730,66281400
2019-11-28,4130.000000,4170.000000,4050.000000,4050.000000,3828.025879,61720000
2019-11-29,4060.000000,4120.000000,4010.000000,4090.000000,3865.833496,64199200
2019-12-02,4150.000000,4210.000000,4120.000000,4210.000000,3979.256592,55396900
2019-12-03,4210.000000,4220.000000,4160.000000,4170.000000,3941.448730,43717700
2019-12-04,4200.000000,4200.000000,4120.000000,4130.000000,3903.641113,50621200
2019-12-05,4200.000000,4230.000000,4170.000000,4220.000000,3988.708496,72784100
2019-12-06,4250.000000,4250.000000,4170.000000,4170.000000,3941.448730,67202600
2019-12-09,4190.000000,4210.000000,4150.000000,4180.000000,3950.900635,47839000
2019-12-10,4140.000000,4180.000000,4130.000000,4170.000000,3941.448730,80011300
2019-12-11,4190.000000,4210.000000,4160.000000,4210.000000,3979.256592,62962600
2019-12-12,4230.000000,4270.000000,4210.000000,4250.000000,4017.064209,125551000
2019-12-13,4280.000000,4290.000000,4240.000000,4280.000000,4045.419922,167616600
2019-12-16,4300.000000,4350.000000,4290.000000,4330.000000,4092.679443,178955500
2019-12-17,4360.000000,4360.000000,4300.000000,4350.000000,4111.583496,141046900
2019-12-18,4380.000000,4400.000000,4350.000000,4400.000000,4158.842773,158345700
2019-12-19,4350.000000,4370.000000,4320.000000,4350.000000,4111.583496,94017600
2019-12-20,4350.000000,4370.000000,4320.000000,4360.000000,4121.035156,156213900
2019-12-23,4450.000000,4470.000000,4360.000000,4450.000000,4206.102539,123276700
2019-12-26,4420.000000,4450.000000,4400.000000,4410.000000,4168.294922,50234000
2019-12-27,4380.000000,4440.000000,4380.000000,4430.000000,4187.198730,56465900
2019-12-30,4450.000000,4450.000000,4360.000000,4400.000000,4158.842773,66440200
2020-01-02,4400.000000,4410.000000,4360.000000,4410.000000,4168.294922,41714100
2020-01-03,4420.000000,4440.000000,4390.000000,4420.000000,4177.747070,82898300
2020-01-06,4360.000000,4390.000000,4320.000000,4370.000000,4130.487305,44225100
2020-01-07,4410.000000,4410.000000,4380.000000,4400.000000,4158.842773,103948100
2020-01-08,4380.000000,4400.000000,4340.000000,4380.000000,4139.938965,171751200
2020-01-09,4400.000000,4420.000000,4370.000000,4400.000000,4158.842773,72072000
2020-01-10,4430.000000,4430.000000,4390.000000,4410.000000,4168.294922,124809200
2020-01-13,4430.000000,4510.000000,4420.000000,4510.000000,4262.813477,111351400
2020-01-14,4540.000000,4600.000000,4520.000000,4570.000000,4319.525391,158414200
2020-01-15,4570.000000,4580.000000,4530.000000,4580.000000,4328.977051,102566700
2020-01-16,4570.000000,4590.000000,4510.000000,4570.000000,4319.525391,133986100
2020-01-17,4620.000000,4640.000000,4600.000000,4630.000000,4376.236816,121175500
2020-01-20,4690.000000,4690.000000,4630.000000,4660.000000,4404.592285,81837500
2020-01-21,4670.000000,4680.000000,4640.000000,4670.000000,4414.044434,73839600
2020-01-22,4680.000000,4710.000000,4670.000000,4710.000000,4451.852051,82370500
2020-01-23,4720.000000,4760.000000,4690.000000,4740.000000,4480.208008,139861200
2020-01-24,4730.000000,4750.000000,4680.000000,4740.000000,4480.208008,96017400
2020-01-27,4700.000000,4700.000000,4640.000000,4650.000000,4395.140625,93704600
2020-01-28,4580.000000,4640.000000,4570.000000,4620.000000,4366.784668,95394600
2020-01-29,4620.000000,4660.000000,4600.000000,4620.000000,4366.784668,194871800
2020-01-30,4700.000000,4700.000000,4580.000000,4580.000000,4328.977051,87726300
2020-01-31,4570.000000,4580.000000,4460.000000,4460.000000,4215.554688,137055500
2020-02-03,4460.000000,4490.000000,4450.000000,4460.000000,4215.554688,131584600
2020-02-04,4690.000000,4690.000000,4520.000000,4560.000000,4310.073242,112377400
2020-02-05,4570.000000,4580.000000,4510.000000,4560.000000,4310.073242,91267300
2020-02-06,4590.000000,4590.000000,4530.000000,4550.000000,4300.621094,94855500
